FirstName,LastName,Dist,Party,CapOffAdd,CapOffPh,DistOffAdd1,DistOffPh1,DistOffAdd2,DistOffPh2,DistOffAdd3,DistOffPh3
Susan Talamantes,Eggman,13,Democrat,"P.O. Box 942849, Room 2003, Sacramento, CA 94249-0013", (916) 319-2013,"31 East Channel Street, Suite 306, Stockton, CA 95202", (209) 948-7479,,,,
Paul,Fong,28,Democrat,"P.O. Box 942849, Room 5016, Sacramento, CA 94249-0028", (916) 319-2028,"2105 South Bascom Avenue, Suite 160, Campbell, CA 95008", (408) 371-2802,,,,
Steve,Fox,36,Democrat,"P.O. Box 942849, Room 3132, Sacramento, CA 94249-0036", (916) 319-2036,"41319 12th Street West, Suite 105, Palmdale, CA 93551", (661) 267-7636,,,,
Jim ,Frazier,11,Democrat,"P.O. Box 942849, Room 3091, Sacramento, CA 94249-0011", (916) 319-2011,"1261 Travis Blvd, Suite 110, Fairfield, CA 94533", (707) 399-3011,"4703 Lone Tree Way, Antioch, CA 94531", (925) 778-5790,,
Beth,Gaines,6,Republican,"P.O. Box 942849, Room 2130, Sacramento, CA 94249-0006", (916) 319-2006,"8799-A Auburn Folsom Road, Granite Bay, CA 95746", (916) 774-4430,,,,
Cristina,Garcia,58,Democrat,"P.O. Box 942849, Room 5164, Sacramento, CA 94249-0058", (916) 319-2058,"8255 Firestone Blvd, Suite 203, Downey, CA 90241", (562) 861-5803,,,,
Mike,Gatto,43,Democrat,"P.O. Box 942849, Room 2114, Sacramento, CA 94249-0043", (916) 319-2043,"300 East Magnolia Blvd, Suite 504, Burbank, CA 91502", (818) 558-3043,,,,
Jimmy,Gomez,51,Democrat,"P.O. Box 942849, Room 2176, Sacramento, CA 94249-0051", (916) 319-2051,"1910 West Sunset Blvd, Suite 810, Los Angeles, CA 90026", (213) 483-5151,,,,
Lorena ,Gonzalez,80,Democrat,"P.O. Box 942849, Room 5158, Sacramento, CA 94249-0080", (916) 319-2080,"1350 Front Street, Suite 6022, San Diego, CA 92101", (619) 338-8090,,,,
Richard S.,Gordon,24,Democrat,"P.O. Box 942849, Room 3013, Sacramento, CA 94249-0024", (916) 319-2024,"5050 El Camino Real, Suite 117, Los Altos, CA 94022", (650) 691-2121,,,,
Jeff,Gorell,44,Republican,"P.O. Box 942849, Room 6031, Sacramento, CA 94249-0044", (916) 319-2044,"2301 East Daily Drive, Suite 200, Camarillo, CA 93010", (805) 482-1904,,,,
Adam,Gray,21,Democrat,"P.O. Box 942849, Room 6012, Sacramento, CA 94249-0021", (916) 319-2021,"690 West 16th Street, Merced, CA 95340", (209) 726-5465,"1010 Tenth Street, Suite 5800, Modesto, CA 95354", (209) 521-2111,,
Shannon L.,Grove,34,Republican,"P.O. Box 942849, Room 4208, Sacramento, CA 94249-0034", (916) 319-2034,"4900 California Ave., Suite 100B, Bakersfield, CA 93309", (661) 395-2995,,,,
Curt,Hagman,55,Republican,"P.O. Box 942849, Room 4130, Sacramento, CA 94249-0055", (916) 319-2055,"13920 City Center Drive, Suite 260, Chino Hills, CA 91709", (909) 627-7021,,,,
Isadore ,"Hall, III",64,Democrat,"P.O. Box 942849, Room 3123, Sacramento, CA 94249-0064", (916) 319-2064,"2200 W. Artesia Blvd., Suite 210, Rancho Dominguez, CA 90220", (310) 223-1201,,,,
Diane L.,Harkey,73,Republican,"P.O. Box 942849, Room 4116, Sacramento, CA 94249-0073", (916) 319-2073,"29122 Rancho Viejo Road, Suite 111, San Juan Capistrano, CA 92675", (949) 347-7301,,,,
Roger,Hernandez,48,Democrat,"P.O. Box 942849, Room 4146, Sacramento, CA 94249-0048", (916) 319-2048,"100 N. Barranca Street, Suite 895, West Covina, CA 91791", (626) 960-4457,,,,
Chris R.,Holden,41,Democrat,"P.O. Box 942849, Room 5119, Sacramento, CA 94249-0041", (916) 319-2041,"600 Rosemead Blvd, Suite 117, Pasadena, CA 91107<\/font>", (626) 351-1917,"415 W. Foothill Blvd, Suite 124, Claremont, CA 91711", (909) 624-7876,,
Brian W.,Jones,71,Republican,"P.O. Box 942849, Room 3141, Sacramento, CA 94249-0071", (916) 319-2071,"10152 Mission Gorge Road, Santee, CA 92071", (619) 441-2322,,,,
Reginald B.,"Jones-Sawyer, Sr.",59,Democrat,"P.O. Box 942849, Room 4164, Sacramento, CA 94249-0059", (916) 319-2059,"700 Exposition Park Drive, Los Angeles, CA 90037", (213) 744-2111,,,,
Marc,Levine,10,Democrat,"P.O. Box 942849, Room 2137, Sacramento, CA 94249-0010", (916) 319-2010,"3501 Civic Center Drive, Suite 412, San Rafael, CA 94903", (415) 479-4920,"11 English Street, Petaluma, CA 94952", (707) 773-0606,"50 D Street, Suite 301, Santa Rosa CA 95404", (707) 576-2631
Eric,Linder,60,Republican,"P.O. Box 942849, Room 2016, Sacramento, CA 94249-0060", (916) 319-2060,"4740 Green River Road, Suite 310-311, Corona, CA 92880", (951) 371-6860,,,,
Dan,Logue,3,Republican,"P.O. Box 942849, Room 4158, Sacramento, CA 94249-0003", (916) 319-2003,"150 Amber Grove Drive, Suite 154, Chico, CA 95973", (530) 895-4217,,,,
Bonnie,Lowenthal,70,Democrat,"P.O. Box 942849, Room 3152, Sacramento, CA 94249-0070", (916) 319-2070,"110 Pine Avenue, Suite 804, Long Beach, CA 90802", (562) 495-2915,"461 West 6th Street, Suite 209, San Pedro, CA 90731", (310) 548-6420,,
Brian,Maienschein,77,Republican,"P.O. Box 942849, Room 3098, Sacramento, CA 94249-0077", (916) 319-2077,"12396 World Trade Drive, Suite 118, San Diego, CA 92128", (858) 675-0077,,,,
Allan R.,Mansoor,74,Republican,"P.O. Box 942849, Room 4177, Sacramento, CA 94249-0074", (916) 319-2074,"1503 South Coast Drive, Suite 205, Costa Mesa, CA 92626", (714) 668-2100,,,,
Jose,Medina,61,Democrat,"P.O. Box 942849, Room 5135, Sacramento, CA 94249-0061", (916) 319-2061,"1223 University Avenue, Suite 230, Riverside, CA 92507", (951) 369-6644,"137 N. Perris Blvd, Suite 15, Perris, CA 92570", (951) 369-6644,,
Melissa A.,Melendez,67,Republican,"P.O. Box 942849, Room 4009, Sacramento, CA 94249-0067", (916) 319-2067,"41391 Kalmia Street, Suite 220, Murrieta, CA 92562", (951) 894-1232,,,,
Kevin,Mullin,22,Democrat,"P.O. Box 942849, Room 2163, Sacramento, CA 94249-0022", (916) 319-2022,"1528 South El Camino Real, Suite 302, San Mateo, CA 94402", (650) 349-2200,,,,
Al,Muratsuchi,66,Democrat,"P.O. Box 942849, Room 4117, Sacramento, CA 94249-0066", (916) 319-2066,"3460 Torrance Blvd, Suite 306, Torrance, CA 90503", (310) 316-2164,,,,
Adrin,Nazarian,46,Democrat,"P.O. Box 942849, Room 4015, Sacramento, CA 94249-0046", (916) 319-2046,"6150 Van Nuys Blvd, Suite 300, Van Nuys, CA 91401", (818) 376-4246,,,,
Brian,Nestande,42,Republican,"P.O. Box 942849, Room 4139, Sacramento, CA 94249-0042", (916) 319-2042,"2091 West Florida Avenue, Suite 125, Hemet, CA 92545", (951) 925-8306,"73-710 Fred Waring Drive, Suite 116, Palm Desert, CA 92260", (760) 674-0164,,
Kristin,Olsen,12,Republican,"P.O. Box 942849, Room 2111, Sacramento, CA 94249-0012", (916) 319-2012,"3719 Tully Road, Suite C, Modesto, CA 95356", (209) 576-6425,,,,
Richard,Pan,9,Democrat,"P.O. Box 942849, Room 6005, Sacramento, CA 94249-0009", (916) 319-2009,"2251 Florin Road, Suite 156, Sacramento 95822", (916) 262-0999,,,,
Jim,Patterson,23,Republican,"P.O. Box 942849, Room 4102, Sacramento, CA 94249-0023", (916) 319-2023,"6245 N. Fresno Street, Suite 106, Fresno, CA 93710", (559) 446-2029,,,,
Henry T.,Perea,31,Democrat,"P.O. Box 942849, Room 3120, Sacramento, CA 94249-0031", (916) 319-2031,"2550 Mariposa Mall, Suite 5031, Fresno, CA 93721", (559) 445-5532,,,,
John A.,Perez,53,Democrat,"P.O. Box 942849, Room 319, Sacramento, CA 94249-0053", (916) 319-2053,"320 West 4th Street, Room 1050, Los Angeles, CA 90013", (213) 620-4646,,,,
V. Manuel,Perez,56,Democrat,"P.O. Box 942849, Room 4112, Sacramento, CA 94249-0056", (916) 319-2056,"45-677 Oasis Street, Indio, CA 92201", (760) 342-8047,"1625 West Main Street, Suite 220, El Centro, CA 92243", (760) 336-8912,,
Bill,Quirk,20,Democrat,"P.O. Box 942849, Room 2175, Sacramento, CA 94249-0020", (916) 319-2020,"22320 Foothill Blvd, Suite 540, Hayward, CA 94541", (510) 583-8818,,,,
Sharon,Quirk-Silva,65,Democrat,"P.O. Box 942849, Room 5175, Sacramento, CA 94249-0065", (916) 319-2065,"1400 North Harbor Blvd, Suite 601, Fullerton, CA 92835", (714) 526-7272,,,,
Anthony,Rendon,63,Democrat,"P.O. Box 942849, Room 2136, Sacramento, CA 94249-0063", (916) 319-2063,"12132 South Garfield Avenue, South Gate, CA 90280", (562) 529-3250,,,,
Sebastian,Ridley-Thomas,54,Democrat,"P.O. Box 942849, Room 3149, Sacramento, CA 94249-0054", (916) 319-2054,"300 Corporate Pointe, Suite 380, Culver City, CA 90230", (310) 342-1070,,,,
Freddie,Rodriguez,52,Democrat,"P.O. Box 942849, Room 2160, Sacramento, CA 94249-0052", (916) 319-2052,"13160 7th Street, Chino, CA 91710", (909) 902-9606,,,,
Rudy,"Salas, Jr.",32,Democrat,"P.O. Box 942849, Room 4162, Sacramento, CA 94249-0032", (916) 319-2032,"1430 Truxtun Ave, Suite 803, Bakersfield, CA 93301", (661) 335-0302,"113 Court Street, Suite 201, Hanford, CA 93230", (559) 585-7170,,
Nancy,Skinner,15,Democrat,"P.O. Box 942849, Room 6026, Sacramento, CA 94249-0015", (916) 319-2015,"1515 Clay Street, Suite 2201, Oakland, CA 94612", (510) 286-1400,,,,
Mark,Stone,29,Democrat,"P.O. Box 942849, Room 5155, Sacramento, CA 94249-0029", (916) 319-2029,"701 Ocean Street, Suite 318-B, Santa Cruz, CA 95060", (831) 425-1503,"99 Pacific Street, Suite 555D, Monterey, CA 93940", (831) 649-2832,,
Philip Y. ,Ting,19,Democrat,"P.O. Box 942849, Room 3173, Sacramento, CA 94249-0019", (916) 319-2019,"455 Golden Gate Avenue, Suite 14600, San Francisco, CA 94102", (415) 557-2312,,,,
Donald P.,Wagner,40,Vacant,"P.O. Box 942849, Room 2158, Sacramento, CA 94249-0068", (916) 319-2068,"17821 East 17th Street, Suite 150, Tustin, CA 92780", (714) 665-6868,,,,
Marie,Waldron,68,Republican,"P.O. Box 942849, Room 5128, Sacramento, CA 94249-0075", (916) 319-2075,"350 West 5th Avenue, Suite 110, Escondido, CA 92025<\/font>", (760) 480-7570,,,,
Shirley N.,Weber,75,Republican,"P.O. Box 942849, Room 3126, Sacramento, CA 94249-0079", (916) 319-2079,"1350 Front Street, Suite 6046, San Diego, CA 92101", (619) 531-7913,,,,
Bob,Wieckowski,79,Democrat,"P.O. Box 942849, Room 4016, Sacramento, CA 94249-0025", (916) 319-2025,"39510 Paseo Padre Parkway, Suite 280, Fremont, CA 94538", (510) 440-9030,,,,
Scott,Wilk,25,Democrat,"P.O. Box 942849, Room 4153, Sacramento, CA 94249-0038", (916) 319-2038,"27441 Tourney Road, Suite 160, Valencia, CA 91355<\/font>", (661) 286-1565,,,,
Das,Williams,38,Republican,"P.O. Box 942849, Room 4005, Sacramento, CA 94249-0037", (916) 319-2037,"101 West Anapamu Street, Suite A, Santa Barbara, CA 93101", (805) 564-1649,"89 South California Street, Suite F, Ventura, CA 93001", (805) 641-3700,,
Mariko,Yamada,37,Democrat,"P.O. Box 942849, Room 5160, Sacramento, CA 94249-0004", (916) 319-2004,"725 Main Street, Suite 206, Woodland, CA 95695", (530) 662-7867,"4381 Broadway Street, Suite 108, American Canyon, CA 94503", (707) 552-4405,,
AD40,Vacant,4,Democrat,"P.O. Box 942849, Room 4144, Sacramento, CA 94249-0040", (916) 319-2040,"10604 N Trademark Parkway Suite 308, Rancho Cucamonga, CA 91730", (909) 466-9096,,,,
